OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length
2776,37,119,003808,1,371190038081,Block Group 1,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,864,886f1f95-211e-4b01-8f6a-2c5e6a7280ab,3185037.00738525,7767.34157838207
2777,37,119,005308,1,371190053081,Block Group 1,"Block Group 1, Census Tract 53.08, Mecklenburg County, North Carolina",99300,47,0,0,0,0,0,0,0,0,0,0,11,6,7,10,0,0,0,6,0,0,0,7,0,0,0,0,707,844,91a29768-6fd5-481b-939f-c4301d559794,5507230.4006958,14197.0886069073
2778,37,119,005828,1,371190058281,Block Group 1,"Block Group 1, Census Tract 58.28, Mecklenburg County, North Carolina",403300,772,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,61,84,90,20,80,151,240,0,0,0,0,115,1210,cebeed93-7f44-4f15-ba10-e500bfac9d59,21129246.7367554,29150.9692147898
2779,37,119,001508,1,371190015081,Block Group 1,"Block Group 1, Census Tract 15.08, Mecklenburg County, North Carolina",156300,659,15,15,0,0,0,0,0,0,0,19,0,17,31,80,113,157,46,47,103,16,0,0,0,0,0,0,237,1125,88c1fd5d-8291-4f8a-8eeb-6d9df7355942,29615063.2480469,24126.0164937004
2780,37,119,001923,2,371190019232,Block Group 2,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina",142300,290,11,15,0,0,0,0,0,0,0,8,0,0,10,47,78,73,19,29,0,0,0,0,0,0,0,0,126,1361,0b52c4b1-77cf-4f55-b259-cc6c5170faed,8883252.72003174,20479.0456260778
2781,37,119,002100,2,371190021002,Block Group 2,"Block Group 2, Census Tract 21, Mecklenburg County, North Carolina",335700,316,0,0,0,0,0,0,0,0,0,0,0,0,11,26,33,0,0,3,75,28,83,49,8,0,0,0,578,857,ec59e329-2ecc-49c2-894f-c2b2cf9a7fba,12767333.3627319,14731.2485715699
2782,37,119,005621,3,371190056213,Block Group 3,"Block Group 3, Census Tract 56.21, Mecklenburg County, North Carolina",175500,209,0,0,0,0,0,0,0,0,0,0,0,0,0,18,58,28,27,38,16,24,0,0,0,0,0,0,271,1318,9548244a-5b3d-4852-bb77-dea03d7259a6,57424318.2294922,31574.6223572663
2783,37,119,004305,1,371190043051,Block Group 1,"Block Group 1, Census Tract 43.05, Mecklenburg County, North Carolina",124800,703,0,20,0,0,0,0,0,0,20,25,20,26,62,180,43,188,119,0,0,0,0,0,0,0,0,0,277,1066,e358d5d4-9f21-49ee-a5bd-4ddeba1bebbf,36081232.3121338,27375.9403830102
2784,37,119,005914,3,371190059143,Block Group 3,"Block Group 3, Census Tract 59.14, Mecklenburg County, North Carolina",147600,445,0,0,0,0,0,0,0,0,0,0,0,0,54,127,46,25,38,79,52,24,0,0,0,0,0,0,565,1063,40869874-90c5-4d6c-b3fb-240c6011aa81,55292405.7547607,35495.1433935136
2785,37,119,006010,3,371190060103,Block Group 3,"Block Group 3, Census Tract 60.10, Mecklenburg County, North Carolina",121000,310,49,0,0,0,0,0,0,14,0,0,17,0,18,68,12,17,68,34,0,13,0,0,0,0,0,0,335,1256,917238ce-4c63-449d-b213-5bc6eb194904,31993729.0181885,34092.1172191184
