OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,Affordable,Middle,HighEnd,Affordability_Index
2776,37,119,3808,1,371190038081,Block Group 1,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,864.0,886f1f95-211e-4b01-8f6a-2c5e6a7280ab,3185037.00738525,7767.34157838207,0,0,0,0.0
2777,37,119,5308,1,371190053081,Block Group 1,"Block Group 1, Census Tract 53.08, Mecklenburg County, North Carolina",99300.0,47.0,0,0,0,0,0,0,0,0,0,0,11,6,7,10,0,0,0,6,0,0,0,7,0,0,0,0,707,844.0,91a29768-6fd5-481b-939f-c4301d559794,5507230.4006958,14197.0886069073,34,6,7,0.723404255319149
2778,37,119,5828,1,371190058281,Block Group 1,"Block Group 1, Census Tract 58.28, Mecklenburg County, North Carolina",403300.0,772.0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,61,84,90,20,80,151,240,0,0,0,0,115,1210.0,cebeed93-7f44-4f15-ba10-e500bfac9d59,21129246.7367554,29150.9692147898,46,335,391,0.05958549222797927
2779,37,119,1508,1,371190015081,Block Group 1,"Block Group 1, Census Tract 15.08, Mecklenburg County, North Carolina",156300.0,659.0,15,15,0,0,0,0,0,0,0,19,0,17,31,80,113,157,46,47,103,16,0,0,0,0,0,0,237,1125.0,88c1fd5d-8291-4f8a-8eeb-6d9df7355942,29615063.2480469,24126.0164937004,290,369,0,0.4400606980273141
2780,37,119,1923,2,371190019232,Block Group 2,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina",142300.0,290.0,11,15,0,0,0,0,0,0,0,8,0,0,10,47,78,73,19,29,0,0,0,0,0,0,0,0,126,1361.0,0b52c4b1-77cf-4f55-b259-cc6c5170faed,8883252.72003174,20479.0456260778,169,121,0,0.5827586206896552
2781,37,119,2100,2,371190021002,Block Group 2,"Block Group 2, Census Tract 21, Mecklenburg County, North Carolina",335700.0,316.0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,33,0,0,3,75,28,83,49,8,0,0,0,578,857.0,ec59e329-2ecc-49c2-894f-c2b2cf9a7fba,12767333.3627319,14731.2485715699,70,106,140,0.22151898734177214
2782,37,119,5621,3,371190056213,Block Group 3,"Block Group 3, Census Tract 56.21, Mecklenburg County, North Carolina",175500.0,209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,58,28,27,38,16,24,0,0,0,0,0,0,271,1318.0,9548244a-5b3d-4852-bb77-dea03d7259a6,57424318.2294922,31574.6223572663,76,133,0,0.36363636363636365
2783,37,119,4305,1,371190043051,Block Group 1,"Block Group 1, Census Tract 43.05, Mecklenburg County, North Carolina",124800.0,703.0,0,20,0,0,0,0,0,0,20,25,20,26,62,180,43,188,119,0,0,0,0,0,0,0,0,0,277,1066.0,e358d5d4-9f21-49ee-a5bd-4ddeba1bebbf,36081232.3121338,27375.9403830102,396,307,0,0.5633001422475107
2784,37,119,5914,3,371190059143,Block Group 3,"Block Group 3, Census Tract 59.14, Mecklenburg County, North Carolina",147600.0,445.0,0,0,0,0,0,0,0,0,0,0,0,0,54,127,46,25,38,79,52,24,0,0,0,0,0,0,565,1063.0,40869874-90c5-4d6c-b3fb-240c6011aa81,55292405.7547607,35495.1433935136,227,218,0,0.5101123595505618
2785,37,119,6010,3,371190060103,Block Group 3,"Block Group 3, Census Tract 60.10, Mecklenburg County, North Carolina",121000.0,310.0,49,0,0,0,0,0,0,14,0,0,17,0,18,68,12,17,68,34,0,13,0,0,0,0,0,0,335,1256.0,917238ce-4c63-449d-b213-5bc6eb194904,31993729.0181885,34092.1172191184,178,132,0,0.5741935483870968
2786,37,119,1300,3,371190013003,Block Group 3,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",304700.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,47,8,43,29,12,8,0,0,0,61,1176.0,026f393d-d4e9-4ce1-8920-7ee29c87dcd8,4074529.18029785,8835.60505254034,25,106,49,0.1388888888888889
2787,37,119,1702,4,371190017024,Block Group 4,"Block Group 4, Census Tract 17.02, Mecklenburg County, North Carolina",127400.0,47.0,0,0,0,0,0,0,0,0,0,0,9,0,2,10,26,0,0,0,0,0,0,0,0,0,0,0,861,889.0,9d292a7e-9b57-4d38-8ca3-b5d483995fcf,9038153.62176514,15806.3893684009,47,0,0,1.0
2788,37,119,5838,3,371190058383,Block Group 3,"Block Group 3, Census Tract 58.38, Mecklenburg County, North Carolina",230800.0,833.0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,16,206,285,171,104,0,0,0,0,11,21,836,1684.0,35633a5f-32de-4d29-94b1-ce468064e85c,52520700.3789063,38617.861933945,19,782,32,0.022809123649459785
2789,37,119,6405,1,371190064051,Block Group 1,"Block Group 1, Census Tract 64.05, Mecklenburg County, North Carolina",250400.0,456.0,12,0,0,0,0,0,0,0,0,0,0,0,0,24,10,48,24,109,120,90,0,19,0,0,0,0,828,1267.0,f71377e3-cd07-44f7-a70a-f5ed3687f795,29543305.3850708,25281.7729546165,46,391,19,0.10087719298245613
2790,37,119,6103,1,371190061031,Block Group 1,"Block Group 1, Census Tract 61.03, Mecklenburg County, North Carolina",451900.0,587.0,0,0,7,0,0,0,0,0,0,0,10,0,12,51,0,0,7,7,48,56,184,149,34,22,0,0,213,964.0,a76e9a0b-ae6f-4685-99a8-9e4f4c20056b,63870922.1003418,35504.991426141,80,118,389,0.1362862010221465
2791,37,119,100,3,371190001003,Block Group 3,"Block Group 3, Census Tract 1, Mecklenburg County, North Carolina",398600.0,533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,14,62,65,106,62,43,39,103,0,18,260,2052.0,c9dd20b3-2281-4a12-92ea-d46fac9defd8,2085153.55096436,7727.16152360987,21,247,265,0.039399624765478425
2792,37,119,5817,2,371190058172,Block Group 2,"Block Group 2, Census Tract 58.17, Mecklenburg County, North Carolina",412200.0,1003.0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,65,0,7,54,77,213,290,204,43,0,0,0,132,1442.0,67d35f76-7311-4852-a38e-275e399e9afe,29435640.7749634,23981.4665625424,115,351,537,0.11465603190428714
2793,37,119,1609,2,371190016092,Block Group 2,"Block Group 2, Census Tract 16.09, Mecklenburg County, North Carolina",135400.0,422.0,0,0,0,0,8,0,0,0,9,17,50,21,12,74,48,56,25,57,35,10,0,0,0,0,0,0,532,1031.0,20a96511-b6bd-4d78-b5f4-5ddecdcc88bf,14470859.6134033,18153.9915107139,239,183,0,0.566350710900474
2794,37,119,5612,1,371190056121,Block Group 1,"Block Group 1, Census Tract 56.12, Mecklenburg County, North Carolina",151000.0,758.0,0,0,0,0,0,0,0,0,6,0,0,14,15,176,159,230,78,80,0,0,0,0,0,0,0,0,388,1191.0,0f2cbcb5-d17e-4096-8d8d-72aaf4e7e754,21309192.5452881,23255.2000455993,370,388,0,0.48812664907651715
2795,37,119,5514,1,371190055141,Block Group 1,"Block Group 1, Census Tract 55.14, Mecklenburg County, North Carolina",188500.0,490.0,0,0,0,0,18,0,0,0,0,0,0,0,49,81,30,41,48,0,108,91,0,24,0,0,0,0,482,1249.0,d3ccdab9-5cd4-4d15-bc40-d86eaa1e6b90,14169048.8725586,16908.0912857825,178,288,24,0.363265306122449
2796,37,119,2904,5,371190029045,Block Group 5,"Block Group 5, Census Tract 29.04, Mecklenburg County, North Carolina",389100.0,305.0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,11,12,124,87,29,23,0,0,0,319,1239.0,05bca437-fd97-4757-ac55-a8cbca47d59f,14257479.0065918,18680.7038460684,19,147,139,0.06229508196721312
2797,37,119,5811,1,371190058111,Block Group 1,"Block Group 1, Census Tract 58.11, Mecklenburg County, North Carolina",198600.0,885.0,0,0,0,0,0,0,0,16,0,13,0,31,9,66,73,63,182,154,197,81,0,0,0,0,0,0,281,1294.0,305c2a60-e7d1-4606-9ee2-0f3d6389c205,25889989.2583618,22394.4212350873,208,677,0,0.23502824858757063
2798,37,119,3015,1,371190030151,Block Group 1,"Block Group 1, Census Tract 30.15, Mecklenburg County, North Carolina",313000.0,668.0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10,19,127,128,299,45,29,0,0,0,0,97,2117.0,1a742d79-3e5a-47d5-9349-d9e6a8a18581,13771453.9130859,16338.2705394886,11,583,74,0.016467065868263474
2799,37,119,2905,2,371190029052,Block Group 2,"Block Group 2, Census Tract 29.05, Mecklenburg County, North Carolina",987700.0,325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,51,0,18,71,114,36,9,272,1600.0,2c0ca45b-dfee-4acc-bb19-64f3debd68cc,16575566.6652832,21385.8448049414,0,77,248,0.0
2800,37,119,3808,2,371190038082,Block Group 2,"Block Group 2, Census Tract 38.08, Mecklenburg County, North Carolina",139400.0,260.0,0,0,0,0,0,0,0,0,0,0,14,6,33,51,45,75,36,0,0,0,0,0,0,0,0,0,953,994.0,d88831ee-8c48-4bf8-915b-5f7306f74bd8,16044865.4284058,18318.6666597007,149,111,0,0.573076923076923
2801,37,119,5512,1,371190055121,Block Group 1,"Block Group 1, Census Tract 55.12, Mecklenburg County, North Carolina",134400.0,219.0,0,0,12,0,0,0,0,0,0,0,25,5,17,31,52,36,20,21,0,0,0,0,0,0,0,0,95,971.0,07c6f34c-09cf-4152-8b08-c026b5379e27,13349155.8727417,17525.6364017025,142,77,0,0.6484018264840182
2802,37,119,2300,1,371190023001,Block Group 1,"Block Group 1, Census Tract 23, Mecklenburg County, North Carolina",67500.0,81.0,0,8,0,0,0,0,5,13,10,6,0,12,0,8,0,0,0,0,0,7,0,0,12,0,0,0,122,831.0,511a1dd3-b4b1-48f8-b2f9-11d6a5744e4d,3682431.02282715,8363.62341281103,62,7,12,0.7654320987654321
2803,37,119,3300,1,371190033001,Block Group 1,"Block Group 1, Census Tract 33, Mecklenburg County, North Carolina",405800.0,361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,32,19,34,63,95,91,0,0,0,0,409,1287.0,852b370a-9d8a-40ba-8a2f-475e3bc4709f,9958977.52404785,12824.9091466429,16,159,186,0.0443213296398892
2804,37,119,5618,2,371190056182,Block Group 2,"Block Group 2, Census Tract 56.18, Mecklenburg County, North Carolina",162200.0,307.0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,41,130,34,22,23,8,0,0,0,0,0,0,158,1712.0,28dc5326-23d8-4a97-ac32-5812170b6694,12181230.3738403,14680.4688326661,90,217,0,0.2931596091205212
2805,37,119,3203,1,371190032031,Block Group 1,"Block Group 1, Census Tract 32.03, Mecklenburg County, North Carolina",339300.0,192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,14,47,28,11,68,0,0,0,0,801,975.0,e8d7d54a-cc2e-4bd2-942c-5670cf65f61c,7093258.76226807,10755.5930621435,8,105,79,0.041666666666666664
2806,37,119,5512,2,371190055122,Block Group 2,"Block Group 2, Census Tract 55.12, Mecklenburg County, North Carolina",148500.0,349.0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,138,99,10,23,34,0,0,0,0,0,0,0,153,1302.0,2e1c67c5-2258-4cc4-9e5e-74c6f79e5f60,15367618.9719849,21849.2284487416,183,166,0,0.5243553008595988
2807,37,119,5706,2,371190057062,Block Group 2,"Block Group 2, Census Tract 57.06, Mecklenburg County, North Carolina",276900.0,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,56,34,0,23,90,124,14,0,0,0,0,0,241,898.0,3be21178-f7d1-4a66-b030-d15df87f6c57,61451334.7022095,37634.15989371,74,271,14,0.20612813370473537
2808,37,119,5833,2,371190058332,Block Group 2,"Block Group 2, Census Tract 58.33, Mecklenburg County, North Carolina",372200.0,935.0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,15,107,111,304,306,77,0,0,0,0,25,,dc8728ff-671f-458e-a561-c964f2f95db3,28978377.7732544,27625.4937043615,15,537,383,0.016042780748663103
2809,37,119,5305,2,371190053052,Block Group 2,"Block Group 2, Census Tract 53.05, Mecklenburg County, North Carolina",102200.0,225.0,0,0,0,0,0,0,0,0,0,23,13,51,17,95,10,7,0,0,0,0,0,0,9,0,0,0,348,1020.0,28ec1ac1-e12c-4b47-9914-cdebea19a3c6,7936387.74511719,13506.5172797431,209,7,9,0.9288888888888889
2810,37,119,6005,1,371190060051,Block Group 1,"Block Group 1, Census Tract 60.05, Mecklenburg County, North Carolina",147800.0,813.0,5,12,7,6,0,0,0,0,0,0,37,17,21,181,132,153,74,64,56,29,0,19,0,0,0,0,311,771.0,51e30a32-5eed-45ec-a8d7-d2f12c4a85b3,186706180.223816,54906.5236409012,418,376,19,0.5141451414514145
2811,37,119,5824,1,371190058241,Block Group 1,"Block Group 1, Census Tract 58.24, Mecklenburg County, North Carolina",229800.0,624.0,0,6,0,0,0,0,4,10,0,5,4,8,22,33,29,60,94,62,20,59,172,36,0,0,0,0,640,1092.0,2b469a53-4f35-4eb2-9cfa-a2ca85f77bed,159959570.35553,63849.382309686,121,295,208,0.19391025641025642
2812,37,119,5844,1,371190058441,Block Group 1,"Block Group 1, Census Tract 58.44, Mecklenburg County, North Carolina",359600.0,991.0,0,21,0,0,23,0,0,0,0,0,0,0,0,0,0,50,31,0,222,249,309,86,0,0,0,0,335,1818.0,18282ed5-d32e-4c46-b04d-1f3d22618094,23316321.1914673,19833.1073210317,44,552,395,0.044399596367305755
2813,37,119,1912,1,371190019121,Block Group 1,"Block Group 1, Census Tract 19.12, Mecklenburg County, North Carolina",121400.0,409.0,0,0,0,0,0,0,16,0,0,0,0,0,60,150,60,28,64,20,0,0,0,11,0,0,0,0,605,927.0,be36026e-06cc-4a2a-87bd-f7a45785f805,11657315.5571899,21757.1046592404,286,112,11,0.6992665036674817
2814,37,119,3902,1,371190039021,Block Group 1,"Block Group 1, Census Tract 39.02, Mecklenburg County, North Carolina",96300.0,77.0,0,0,0,0,0,0,0,0,0,8,9,0,34,0,0,26,0,0,0,0,0,0,0,0,0,0,411,927.0,66b570f7-83d1-4621-99cb-6b1d37707df1,9458643.44952393,17510.9348624088,51,26,0,0.6623376623376623
2815,37,119,5612,2,371190056122,Block Group 2,"Block Group 2, Census Tract 56.12, Mecklenburg County, North Carolina",192100.0,654.0,0,0,0,8,0,0,0,0,0,0,0,0,0,55,72,114,114,209,72,1,0,0,9,0,0,0,110,1199.0,30a48a24-046b-49df-ab8a-a1639ec57b16,23331729.3203735,21913.6726484926,135,510,9,0.20642201834862386
2816,37,119,5911,2,371190059112,Block Group 2,"Block Group 2, Census Tract 59.11, Mecklenburg County, North Carolina",270100.0,980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,65,236,328,243,13,19,19,0,0,0,107,2561.0,3312e72b-ac35-4367-bc77-79ace422c0ad,56935150.1323242,39421.7698199541,15,914,51,0.015306122448979591
2817,37,119,3015,3,371190030153,Block Group 3,"Block Group 3, Census Tract 30.15, Mecklenburg County, North Carolina",370200.0,311.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,50,33,42,119,24,0,0,0,0,26,1625.0,67850b7a-a925-433e-ab5b-3adfb335239a,13925816.8231201,15813.9266530474,0,168,143,0.0
2818,37,119,2904,4,371190029044,Block Group 4,"Block Group 4, Census Tract 29.04, Mecklenburg County, North Carolina",470500.0,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,61,50,15,17,0,19,157,1125.0,6a17a3d0-59ac-4eb4-b6f9-3b5978e1f740,9060765.30743408,14397.9751730506,0,76,162,0.0
2819,37,119,3105,1,371190031051,Block Group 1,"Block Group 1, Census Tract 31.05, Mecklenburg County, North Carolina",298200.0,586.0,0,0,0,0,8,0,0,0,0,0,0,0,10,23,6,14,29,93,114,257,6,12,8,6,0,0,44,1560.0,7dbde686-09eb-4e84-bba9-ac58febbb8fd,16307648.7312622,17748.1394294039,47,507,32,0.08020477815699659
2820,37,119,5521,3,371190055213,Block Group 3,"Block Group 3, Census Tract 55.21, Mecklenburg County, North Carolina",226200.0,1031.0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,18,285,346,242,92,17,0,0,0,0,0,718,1176.0,59ac9277-b6a6-4f1a-8b42-d7029d45b07f,66306549.9271851,32627.4215131443,31,983,17,0.030067895247332686
