OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,High_Affordability,Moderate_Affordability,Low_Affordability,Affordability_Index,Affordability_Index_Category,Housing_Value_Range,Rent_Level,Total_Units,pct_high_affordbility,pct_moderate_affordbility,pct_low_affordbility,Weighted_Housing_Value,Affordable_per_House,Neighborhood,Log_Housing_Value,Log_MedianRent,Affordability_Score
2776,37,119,3808,1,371190038081,Block Group 1,"Block Group 1, Census Tract 38.08, Mecklenburg County, North Carolina",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,864.0,886f1f95-211e-4b01-8f6a-2c5e6a7280ab,3185037.00738525,7767.34157838207,0,0,0,,,,Moderate,0,,,,,,Block Group 1,,6.762729506931879,
2777,37,119,5308,1,371190053081,Block Group 1,"Block Group 1, Census Tract 53.08, Mecklenburg County, North Carolina",99300.0,47.0,0,0,0,0,0,0,0,0,0,0,11,6,7,10,0,0,0,6,0,0,0,7,0,0,0,0,707,844.0,91a29768-6fd5-481b-939f-c4301d559794,5507230.4006958,14197.0886069073,34,6,7,0.723404255319149,High,<150k,Moderate,47,0.723404255319149,0.1276595744680851,0.14893617021276595,4667100.0,0.723404255319149,Block Group 1,11.505910920476012,6.739336627357174,0.574468085106383
2778,37,119,5828,1,371190058281,Block Group 1,"Block Group 1, Census Tract 58.28, Mecklenburg County, North Carolina",403300.0,772.0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,61,84,90,20,80,151,240,0,0,0,0,115,1210.0,cebeed93-7f44-4f15-ba10-e500bfac9d59,21129246.7367554,29150.9692147898,46,335,391,0.05958549222797927,Low,300k-500k,Moderate,772,0.05958549222797927,0.4339378238341969,0.5064766839378239,311347600.0,0.05958549222797927,Block Group 1,12.90743846040215,7.099201743553092,-0.4468911917098446
2779,37,119,1508,1,371190015081,Block Group 1,"Block Group 1, Census Tract 15.08, Mecklenburg County, North Carolina",156300.0,659.0,15,15,0,0,0,0,0,0,0,19,0,17,31,80,113,157,46,47,103,16,0,0,0,0,0,0,237,1125.0,88c1fd5d-8291-4f8a-8eeb-6d9df7355942,29615063.2480469,24126.0164937004,290,369,0,0.4400606980273141,Moderate,150k-300k,Moderate,659,0.4400606980273141,0.5599393019726859,0.0,103001700.0,0.4400606980273141,Block Group 1,11.959538914341756,7.026426808699636,0.4400606980273141
2780,37,119,1923,2,371190019232,Block Group 2,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina",142300.0,290.0,11,15,0,0,0,0,0,0,0,8,0,0,10,47,78,73,19,29,0,0,0,0,0,0,0,0,126,1361.0,0b52c4b1-77cf-4f55-b259-cc6c5170faed,8883252.72003174,20479.0456260778,169,121,0,0.5827586206896552,Moderate,<150k,Moderate,290,0.5827586206896552,0.41724137931034483,0.0,41267000.0,0.5827586206896552,Block Group 2,11.86569981146014,7.216709486709457,0.5827586206896552
2781,37,119,2100,2,371190021002,Block Group 2,"Block Group 2, Census Tract 21, Mecklenburg County, North Carolina",335700.0,316.0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,33,0,0,3,75,28,83,49,8,0,0,0,578,857.0,ec59e329-2ecc-49c2-894f-c2b2cf9a7fba,12767333.3627319,14731.2485715699,70,106,140,0.22151898734177214,Low,300k-500k,Moderate,316,0.22151898734177214,0.33544303797468356,0.4430379746835443,106081200.0,0.22151898734177214,Block Group 2,12.723976161813853,6.754604099487962,-0.22151898734177214
2782,37,119,5621,3,371190056213,Block Group 3,"Block Group 3, Census Tract 56.21, Mecklenburg County, North Carolina",175500.0,209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,58,28,27,38,16,24,0,0,0,0,0,0,271,1318.0,9548244a-5b3d-4852-bb77-dea03d7259a6,57424318.2294922,31574.6223572663,76,133,0,0.36363636363636365,Moderate,150k-300k,Moderate,209,0.36363636363636365,0.6363636363636364,0.0,36679500.0,0.36363636363636365,Block Group 3,12.075400019877522,7.1846291527173145,0.36363636363636365
2783,37,119,4305,1,371190043051,Block Group 1,"Block Group 1, Census Tract 43.05, Mecklenburg County, North Carolina",124800.0,703.0,0,20,0,0,0,0,0,0,20,25,20,26,62,180,43,188,119,0,0,0,0,0,0,0,0,0,277,1066.0,e358d5d4-9f21-49ee-a5bd-4ddeba1bebbf,36081232.3121338,27375.9403830102,396,307,0,0.5633001422475107,Moderate,<150k,Moderate,703,0.5633001422475107,0.4366998577524893,0.0,87734400.0,0.5633001422475107,Block Group 1,11.734475747705874,6.9726062513017535,0.5633001422475107
2784,37,119,5914,3,371190059143,Block Group 3,"Block Group 3, Census Tract 59.14, Mecklenburg County, North Carolina",147600.0,445.0,0,0,0,0,0,0,0,0,0,0,0,0,54,127,46,25,38,79,52,24,0,0,0,0,0,0,565,1063.0,40869874-90c5-4d6c-b3fb-240c6011aa81,55292405.7547607,35495.1433935136,227,218,0,0.5101123595505618,Moderate,<150k,Moderate,445,0.5101123595505618,0.4898876404494382,0.0,65682000.0,0.5101123595505618,Block Group 3,11.902267966193309,6.96979066990159,0.5101123595505618
2785,37,119,6010,3,371190060103,Block Group 3,"Block Group 3, Census Tract 60.10, Mecklenburg County, North Carolina",121000.0,310.0,49,0,0,0,0,0,0,14,0,0,17,0,18,68,12,17,68,34,0,13,0,0,0,0,0,0,335,1256.0,917238ce-4c63-449d-b213-5bc6eb194904,31993729.0181885,34092.1172191184,178,132,0,0.5741935483870968,Moderate,<150k,Moderate,310,0.5741935483870968,0.4258064516129032,0.0,37510000.0,0.5741935483870968,Block Group 3,11.703554089007538,7.136483208590247,0.5741935483870968
2786,37,119,1300,3,371190013003,Block Group 3,"Block Group 3, Census Tract 13, Mecklenburg County, North Carolina",304700.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,47,8,43,29,12,8,0,0,0,61,1176.0,026f393d-d4e9-4ce1-8920-7ee29c87dcd8,4074529.18029785,8835.60505254034,25,106,49,0.1388888888888889,Low,300k-500k,Moderate,180,0.1388888888888889,0.5888888888888889,0.2722222222222222,54846000.0,0.1388888888888889,Block Group 3,12.627086246885055,7.0707241072602764,-0.1333333333333333
2787,37,119,1702,4,371190017024,Block Group 4,"Block Group 4, Census Tract 17.02, Mecklenburg County, North Carolina",127400.0,47.0,0,0,0,0,0,0,0,0,0,0,9,0,2,10,26,0,0,0,0,0,0,0,0,0,0,0,861,889.0,9d292a7e-9b57-4d38-8ca3-b5d483995fcf,9038153.62176514,15806.3893684009,47,0,0,1.0,High,<150k,Moderate,47,1.0,0.0,0.0,5987800.0,1.0,Block Group 4,11.755094871382958,6.7912214627261855,1.0
